SID,Date,h0800,h0900,h1000,h1100,h1200,h1300,h1400,h1500,h1600,h1700,h1800,h1900,h2000,h2100,h2200,h2300,h0000,h0100,h0200,h0300,h0400,h0500,h0600,h0700
234,8/22/23,9828,9828,9847,9828,9847,9847,9847,9884,9903,9884,9903,9903,9903,9903,9884,9903,9940,9940,9940,9940,9922,9903,9847,9771
235,8/23/23,9621,9508,9452,9470,9508,9527,9565,9602,9621,9640,9659,9659,9659,9659,9640,9640,9659,9659,9640,9640,9640,9621,9602,9565
236,8/24/23,9508,9470,9452,9433,9414,9414,9452,9414,9433,9414,9414,9414,9414,9433,9433,9433,9433,9452,9433,9433,9414,9414,9395,9395
237,8/25/23,9376,9395,9395,9395,9376,9357,9338,9338,9338,9338,9319,9319,9338,9357,9338,9338,9338,9338,9357,9357,9376,9357,9338,9338
238,8/26/23,9338,9357,9338,9338,9338,9338,9319,9319,9301,9319,9338,9357,9338,9338,9357,9357,9357,9357,9357,9338,9338,9338,9319,9319
239,8/27/23,9319,9319,9301,9301,9301,9301,9319,9301,9319,9319,9319,9319,9319,9338,9319,9338,9319,9338,9338,9338,9338,9338,9338,9319
240,8/28/23,9301,9301,9319,9319,9319,9301,9319,9301,9301,9301,9319,9319,9319,9319,9338,9319,9319,9319,9319,9319,9319,9319,9319,9319
241,8/29/23,9301,9319,9319,9301,9319,9282,9263,9263,9282,9282,9263,9282,9282,9301,9301,9301,9319,9319,9301,9301,9301,9301,9301,9319
242,8/30/23,9301,9319,9301,9301,9282,9263,9263,9263,9282,9263,9244,9263,9263,9263,9263,9244,9263,9244,9263,9244,9244,9263,9263,9225
243,8/31/23,9187,9112,9112,9055,9055,9017,9017,8998,8998,8998,9017,9017,9017,9036,9055,9036,9055,9055,9055,9055,9036,8998,8979,8979
244,9/1/23,8903,8865,8827,8808,8789,8789,8789,8789,8827,8808,8808,8808,8789,8751,8789,8808,8827,8808,8808,8808,8808,8789,8789,8751
245,9/2/23,8732,8656,8637,8618,8618,8618,8732,8941,9112,9149,9149,9206,9338,9546,9696,9696,9527,9376,9338,9301,9263,9187,9112,9055
246,9/3/23,8979,8903,8827,8808,8789,8789,8770,8770,8751,8751,8732,8732,8751,8732,8732,8713,8694,8694,8694,8675,8694,8675,8675,8637
247,9/4/23,8580,8504,8446,8408,8389,8389,8389,8408,8408,8408,8427,8427,8427,8446,8446,8427,8465,8446,8465,8446,8446,8427,8408,8408
248,9/5/23,8389,8408,8408,8370,8351,8332,8332,8293,8313,8313,8332,8332,8332,8332,8351,8351,8332,8332,8332,8332,8332,8313,8313,8313
249,9/6/23,8293,8293,8293,8293,8313,8274,8293,8274,8313,8293,8313,8313,8293,8313,8313,8313,8293,8313,8293,8293,8293,8274,8274,8255
250,9/7/23,8274,8255,8255,8274,8255,8274,8255,8255,8255,8255,8274,8274,8274,8274,8293,8293,8313,8313,8313,8313,8293,8293,8274,8274
251,9/8/23,8274,8274,8274,8274,8274,8255,8255,8255,8255,8255,8236,8236,8274,8255,8274,8293,8293,8274,8274,8274,8255,8255,8255,8236
252,9/9/23,8217,8198,8159,8140,8121,8121,8102,8102,8102,8102,8083,8121,8121,8102,8083,7987,7948,7968,8025,8064,8083,8083,8102,8083
253,9/10/23,8083,8044,8006,7987,7968,7968,8006,7987,7987,7987,7987,8006,8025,8025,8025,8006,7987,8006,7987,8006,8025,8006,7987,7968
254,9/11/23,7948,7929,7910,7891,7891,7891,7871,7891,7891,7910,7910,7910,7910,7910,7910,7910,7910,7929,7910,7929,7910,7929,7929,7910
255,9/12/23,7891,7910,7891,7871,7871,7891,7910,7929,8025,8044,7987,7929,7910,7929,7929,7910,7891,7891,7910,7910,7910,7891,7891,7891
256,9/13/23,7891,7871,7871,7871,7871,7891,7871,7891,7910,7929,7929,7929,7968,7948,7968,7987,7987,7987,8025,8025,8006,8006,8006,8006
257,9/14/23,8006,8006,7987,7987,8006,8006,7987,7987,7987,8006,8025,8025,8044,8083,8064,8083,8064,8025,7968,7891,7871,7852,7852,7852
258,9/15/23,7852,7814,7814,7794,7794,7775,7756,7775,7814,7871,7910,7929,7987,8179,8332,8370,8351,8351,8370,8389,8408,8427,8446,8446
259,9/16/23,8408,8370,8293,8255,8217,8198,8179,8159,8159,8159,8140,8140,8140,8121,8121,8140,8121,8159,8179,8198,8236,8236,8255,8255
260,9/17/23,8255,8198,8159,8121,8083,8064,8064,8044,8044,8025,8025,8006,8006,7968,7987,7987,7968,8006,8025,8064,8083,8121,8121,8121
261,9/18/23,8083,8044,7968,7948,7910,7871,7852,7852,7852,7833,7852,7852,7871,7870,7890,7870,7930,7910,7890,7910,7930,7950,7990,7990
262,9/19/23,7990,8010,8010,8030,7948,7910,7891,7871,7871,7871,7871,7852,7871,7871,7852,7871,7852,7852,7852,7891,7910,7929,7948,7948
263,9/20/23,7948,7948,7948,7929,7910,7910,7891,7891,7871,7833,7737,7640,7582,7582,7582,7602,7602,7563,7544,7524,7505,7505,7486,7486
264,9/21/23,7466,7505,7544,7582,7602,7563,7544,7505,7466,7466,7466,7486,7505,7524,7563,7602,7582,7524,7505,7486,7505,7505,7505,7505
265,9/22/23,7466,7466,7447,7447,7408,7389,7369,7369,7350,7369,7389,7408,7466,7640,7968,8332,8561,8580,8542,8484,8465,8446,8408,8313
266,9/23/23,8064,7775,7544,7408,7331,7292,7272,7234,7195,7175,7175,7195,7253,7311,7369,7408,7447,7486,7524,7563,7582,7621,7659,7659
267,9/24/23,7602,7544,7447,7389,7350,7331,7311,7292,7234,7214,7195,7195,7175,7156,7175,7175,7175,7195,7214,7214,7175,7156,7156,7136
268,9/25/23,7156,7117,7078,7039,7019,7019,7019,7019,7019,7019,7019,7019,7000,7019,7019,7039,7039,7019,7019,7000,6978,6978,6978,6978
269,9/26/23,7019,7000,7000,6978,6978,6957,6914,6914,6914,6935,6935,6957,6957,6978,6957,6935,6935,6914,6914,6914,6892,6892,6892,6892
270,9/27/23,6892,6914,6935,6935,6935,6935,6914,6935,6935,6957,6957,6957,6978,7000,7039,7078,7078,7058,7039,7039,7019,7039,7058,7078
271,9/28/23,7097,7097,7097,7078,7058,7058,7058,7078,7156,7253,7311,7389,7408,7331,7234,7156,7117,7078,7078,7058,7058,7078,7078,7058
272,9/29/23,7058,7039,7039,7058,7058,7039,7019,NA,7039,7039,7019,7039,7019,7019,7039,7039,7058,7078,7117,7175,7214,7214,7214,7214
273,9/30/23,7175,7117,7097,7078,7058,7058,7039,7058,7058,7058,7058,7078,7078,7078,7078,7117,7136,7097,7136,7369,7447,7331,7272,7253
274,10/1/23,7234,7234,7214,7195,7175,7175,7175,7175,7156,7214,7214,7195,7234,7214,7195,7175,7195,7214,7214,7214,7214,7214,7234,7234
275,10/2/23,7234,7234,7214,7214,7234,7195,7175,7175,7175,7175,7175,7195,7214,7214,7195,7195,7214,7214,7214,7214,7195,7214,7214,7253
276,10/3/23,7292,7292,7292,7253,7234,7214,7175,7136,7136,7097,7097,7097,7078,7078,7078,7078,7097,7097,7117,7097,7097,7117,7117,7117
277,10/4/23,7097,7097,7097,7097,7097,7078,7078,7078,7078,7078,7078,7078,7058,7058,7058,7058,7039,7039,7019,7019,7000,7000,7000,6978
278,10/5/23,6978,6978,7000,6978,6978,6957,6957,6978,6957,6978,6978,6957,6957,6978,6957,6978,6957,6978,6978,6978,6978,6978,7000,6978
279,10/6/23,6957,6978,6978,6957,6957,6978,6957,6957,6957,6957,6935,6935,6935,6957,6978,7000,7058,7078,7078,7078,7078,7097,7078,7078
280,10/7/23,7058,7019,6935,6849,6784,6741,6720,6720,6698,6698,6698,6698,6720,6720,6720,6698,6720,6720,6741,6741,6763,6784,6806,6784
281,10/8/23,6784,6784,6784,6763,6741,6741,6720,6698,6698,6698,6698,6720,6698,6741,6741,6741,6741,6741,6741,6763,6763,6763,6784,6784
282,10/9/23,6763,6784,6784,6763,6741,6741,6720,6741,6720,6720,6698,6720,6720,6720,6720,6720,6741,6763,6763,6763,6784,6784,6763,6784
283,10/10/23,6784,6741,6763,6741,6741,6741,6741,6720,6741,6741,6763,6784,6784,6784,6784,6784,6784,6784,6784,6806,6806,6806,6828,6806
284,10/11/23,6806,6806,6806,6806,6828,6828,6828,6849,6849,6849,6849,6871,6849,6871,6849,6849,6828,6828,6849,6849,6849,6849,6871,6871
285,10/12/23,6871,6871,6871,6871,6871,6849,6849,6849,6849,6871,6892,6892,6914,6914,6914,6892,6914,6935,7000,7000,7039,7058,7058,7058
286,10/13/23,7019,7019,7000,6978,6978,6935,6892,6849,6828,6806,6806,6849,6935,7000,6978,6935,6892,6892,6871,6892,6892,6892,6892,6892
287,10/14/23,6892,6892,6871,6871,6849,6849,6849,6828,6828,6828,6849,6849,6849,6849,6828,6806,6828,6828,6871,6871,6935,6957,7000,7000
288,10/15/23,6978,6957,6892,6871,6849,6828,6806,6828,6806,6806,6784,6892,6935,6957,6892,6849,6828,6828,6806,6784,6806,6806,6828,6828
289,10/16/23,6828,6806,6806,6806,6784,6806,6784,6784,6784,6763,6763,6784,6784,6784,6784,6784,6784,6806,6784,6784,6784,6763,6763,6763
290,10/17/23,6806,6828,6806,6784,6806,6784,6763,6784,6763,6784,6784,6784,6806,6806,6806,6828,6806,6784,6784,6806,6806,6784,6806,6806
291,10/18/23,6828,6806,6806,6784,6763,6784,6763,6763,6763,6763,6763,6763,6763,6763,6763,6784,6784,6763,6784,6784,6784,6784,6784,6806
292,10/19/23,6806,6806,6806,6784,6784,6763,6763,6763,6741,6741,6763,6763,6784,6784,6784,6806,6806,6806,6806,6828,6806,6806,6806,6784
293,10/20/23,6763,6763,6763,6763,6763,6763,6763,6741,6741,6741,6763,6763,6763,6763,6763,6763,6763,6763,6763,6763,6763,6763,6763,6806
294,10/21/23,6892,6978,7078,7136,7156,7175,7175,7156,7175,7175,7175,7195,7195,7195,7195,7195,7195,7214,7214,7214,7214,7214,7214,7234
295,10/22/23,7234,7234,7234,7214,7253,7253,7214,7214,7214,7175,7156,7097,7019,7000,6978,6957,6978,6957,6957,6957,6978,6957,6935,6935
296,10/23/23,6935,6935,6957,6935,6957,6957,6957,6957,6978,6978,6978,6978,6978,6978,6957,6978,6978,6978,6978,6957,6957,6957,6978,6978
297,10/24/23,6957,6957,6957,6957,6957,6957,7000,7000,7039,7097,7078,7486,7447,7427,7408,7447,7447,7447,7447,7466,7466,7466,7427,7427
298,10/25/23,7408,7408,7427,7408,7408,7408,7408,7408,7408,7408,7408,7408,7408,7427,7427,7427,7427,7427,7447,7447,7447,7447,7427,7389
299,10/26/23,7408,7408,7408,7427,7427,7427,7427,7447,7447,7447,7466,7447,7486,7505,7524,7544,7582,7602,7621,7621,7621,7621,7602,7582
300,10/27/23,7602,7582,7582,7582,7582,7582,NA,NA,NA,7602,7602,7602,7640,7679,7717,7756,7756,7756,7775,7737,7756,7737,7717,7737
301,10/28/23,7737,7717,7698,7717,7717,7698,7698,7717,7698,7698,7717,7737,7717,7737,7737,7737,7717,7717,7717,7737,7737,7717,7737,7717
302,10/29/23,7737,7717,7717,7717,7756,7698,7679,7679,7679,7679,7679,7717,7717,7717,7737,7756,7756,7756,7775,7794,7794,7775,7756,7756
303,10/30/23,7756,7737,7756,7756,7737,7737,7717,7717,7737,7737,7737,7737,7756,7756,7775,7775,7756,7756,7775,7756,7737,7717,7679,7679
304,10/31/23,7679,7698,7679,7679,7679,7640,7640,7640,7659,7679,7679,7679,7679,7679,7679,7679,7698,7698,7698,7679,7679,7659,7659,7640
305,11/1/23,7640,7640,7659,7659,7659,7659,7659,7640,7659,7640,7659,7659,7659,7659,7640,7679,7717,7737,7698,7679,7659,7659,7659,7640
306,11/2/23,7640,7621,7524,7447,7350,7272,7234,7214,7195,7195,7195,7195,7195,7195,7195,7195,7195,7175,7175,7175,7156,7156,7156,7136
307,11/3/23,7136,7097,7058,7019,6978,6978,6978,6957,6935,6914,6935,6957,6957,6957,6957,6978,7000,7000,7019,7019,7019,7019,7000,6978
308,11/4/23,6957,6935,6892,6849,6849,6871,6914,6935,6957,6957,6978,6978,6978,7000,6978,7000,7000,7000,6978,7000,7000,7000,7000,7000
309,11/5/23,7000,6957,6914,6871,6828,6784,6763,6763,6763,6806,6871,6892,6935,6935,6914,6892,6871,NA,6849,6849,6871,6871,6892,6914
310,11/6/23,6914,6914,6871,6828,6763,6698,6634,6612,6612,6591,6569,6591,6569,6591,6591,6569,6547,6569,6569,6612,6655,6634,6634,6655
311,11/7/23,6655,6655,6634,6612,6569,6547,6569,6547,6569,6526,6612,6763,6871,6871,6806,6784,6763,6677,6569,6504,6461,6483,6569,6612
312,11/8/23,6612,6591,6569,6547,6526,6504,6526,6504,6504,6483,6526,6591,6677,6741,6720,6677,6634,6569,6504,6461,6440,6418,6440,6440
313,11/9/23,6440,6440,6418,6440,6440,6440,6418,6396,6396,6396,6396,6461,6526,6526,6483,6440,6396,6375,6353,6353,6375,6396,6396,6396
314,11/10/23,6418,6396,6396,6375,6353,6353,6375,6375,6353,6353,6353,6353,6353,6353,6353,6353,6353,6375,6396,6375,6353,6353,6353,6353
315,11/11/23,6375,6375,6353,6353,6353,6353,6353,6353,6353,6353,6353,6353,6353,6332,6332,6332,6332,6332,6310,6310,6310,6310,6332,6353
316,11/12/23,6353,6353,6332,6332,6332,6332,6310,6310,6310,6310,6332,6332,6332,6310,6310,6310,6310,6289,6289,6267,6289,6310,6310,6332
317,11/13/23,6332,6332,6332,6332,6332,6332,6332,6332,6332,6310,6310,6310,6310,6332,6310,6310,6310,6310,6310,6310,6310,6310,6332,6353
318,11/14/23,6353,6332,6332,6332,6332,6353,6310,6310,6310,6332,6332,6310,6332,6310,6310,6310,6310,6310,6310,6310,6332,6332,6353,6353
319,11/15/23,6353,6353,6353,6353,6310,6332,6332,6332,6332,6332,6332,6332,6332,6353,6332,6332,6332,6332,6332,6310,6310,6332,6353,6332
320,11/16/23,6332,6353,6332,6332,6332,6332,6332,6332,6332,6310,6289,6246,6246,6224,6202,6224,6224,6224,6224,6224,6224,6246,6267,6267
321,11/17/23,6289,6289,6289,6289,6267,6246,6246,6246,6246,6246,6246,6224,6246,6246,6246,6246,6246,6246,6246,6224,6224,6246,6246,6267
322,11/18/23,6246,6246,6246,6246,6224,6224,6224,6224,6224,6224,6246,6246,6224,6224,6202,6224,6224,6246,6267,6267,6267,6289,6310,6310
323,11/19/23,6375,6375,6353,6353,6353,6353,6353,6396,6396,6440,6483,6547,6547,6569,6591,6591,6655,6698,6741,6806,6828,6828,6935,7117
324,11/20/23,7253,7292,7272,7234,7195,7136,7078,7019,6978,6935,6892,6849,6828,6784,6784,6784,6784,6720,6698,6655,6634,6612,6591,6569
325,11/21/23,6569,6547,6526,6526,6483,6461,6440,6440,6440,6418,6396,6396,6396,6396,6396,6375,6396,6375,6375,6375,6375,6353,6353,6353
326,11/22/23,6375,6353,6353,6353,6332,6332,6332,6332,6353,6396,6461,6483,6483,6440,6418,6418,6418,6396,6353,6310,6270,6220,6200,6200
327,11/23/23,6180,6180,6181,6202,6181,6181,6181,6181,6159,6159,6159,6159,6159,6159,6159,6159,6159,6181,6181,6181,6181,6181,6159,6138
328,11/24/23,6138,6159,6159,6138,6159,6138,6159,6138,6116,6138,6116,6116,6116,6138,6138,6138,6138,6138,6138,6116,6138,6138,6116,6116
329,11/25/23,6095,6073,6116,6116,6116,6095,6095,6095,6095,6073,6095,6073,6073,6073,6095,6095,6095,6095,6116,6116,6138,6138,6138,6138
330,11/26/23,6116,6116,6095,6095,6116,6116,6138,6116,6116,6116,6095,6095,6095,6095,6095,6095,6116,6095,6116,6116,6116,6095,6095,6095
331,11/27/23,6073,6073,6095,6073,6073,6095,6095,6095,6095,6095,6095,6095,6095,6116,6095,6095,6095,6116,6116,6116,6116,6138,6159,6202
332,11/28/23,6224,6246,6246,6246,6267,6246,6267,6267,6224,6202,6202,6224,6202,6202,6202,6224,6224,6246,6224,6202,6202,6202,6202,6202
333,11/29/23,6181,6181,6181,6159,6181,6181,6181,6181,6181,6181,6202,6202,6202,6202,6224,6224,6202,6202,6202,6181,6181,6159,6181,6181
334,11/30/23,6181,6159,6181,6159,6159,6159,6181,6181,6181,6181,6181,6181,6181,6181,6181,6181,6202,6202,6181,6181,6181,6181,6181,6181
335,12/1/23,6159,6138,6159,6159,6159,6181,6181,6181,6181,6181,6181,6202,6202,6181,6181,6181,6202,6181,6181,6181,6181,6181,6181,6202
336,12/2/23,6181,6181,6202,6202,6202,6202,6202,6224,6202,6224,6224,6224,6224,6246,6246,6246,6246,6224,6224,6224,6224,6224,6224,6224
337,12/3/23,6246,6246,6267,6267,6267,6267,6267,6267,6267,6289,6353,6396,6418,6418,6440,6461,6440,6461,6461,6440,6440,6440,6440,6418
338,12/4/23,6396,6353,6353,6353,6353,6353,6353,6353,6332,6332,6332,6332,6332,6353,6353,6353,6353,6375,6353,6332,6332,6353,6332,6332
339,12/5/23,6332,6332,6332,6310,6310,6310,6310,6310,6310,6310,6289,6289,6289,6267,6267,6289,6289,6289,6289,6289,6289,6267,6267,6267
340,12/6/23,6267,6246,6267,6267,6267,6246,6246,6246,6267,6246,6267,6267,6267,6267,6267,6246,6246,6246,6246,6246,6246,6246,6246,6246
341,12/7/23,6246,6246,6246,6246,6246,6267,6289,6310,6375,6396,6353,6353,6418,6418,6440,6440,6440,6440,6440,6420,6350,6310,6289,6289
342,12/8/23,6267,6289,6289,6290,6290,6310,6330,6353,6418,6483,6547,6569,6569,6569,6569,6569,6569,6591,6612,6612,6634,6634,6634,6634
343,12/9/23,6612,6591,6569,6547,6220,6220,6569,6569,6591,6569,6547,6504,6461,6483,6483,6504,6504,6569,6570,6550,6530,6460,6400,6310
344,12/10/23,6270,6250,6250,6246,6224,6224,6224,6202,6202,6202,6202,6181,6181,6181,6181,6202,6202,6202,6202,6181,6202,6181,6181,6181
345,12/11/23,6159,6159,6159,6159,6159,6159,6159,6159,6159,6159,6159,6159,6138,6159,6159,6159,6159,6181,6159,6159,6159,6138,6138,6138
346,12/12/23,6138,6138,6138,6116,6116,6138,6138,6116,6116,6116,6116,6116,6116,6138,6138,6138,6138,6138,6138,6116,6116,6116,6116,6116
347,12/13/23,6116,6138,6138,6138,6138,6138,6138,6138,6138,6116,6116,6116,6138,6138,6159,6159,6159,6181,6181,6159,6159,6159,6159,6159
348,12/14/23,6138,6138,6138,6159,6159,6159,6159,6159,6181,6181,6181,6159,6159,6159,6159,6159,6159,6159,6159,6138,6138,6116,6138,6138
349,12/15/23,6138,6138,6138,6138,6138,6159,6159,6159,6159,6159,6181,6159,6159,6159,6181,6159,6159,6159,6159,6159,6138,6138,6159,6138
350,12/16/23,6159,6138,6159,6159,6159,6159,6159,6138,6095,6073,6051,6073,6051,6051,6051,6095,6116,6138,6138,6138,6159,6159,6138,6138
351,12/17/23,6116,6116,6138,6138,6138,6159,6159,6159,6138,6138,6138,6138,6159,6159,6181,6159,6159,6159,6181,6181,6159,6159,6138,6116
352,12/18/23,6138,6116,6138,6138,6116,6116,6116,6116,6138,6116,6116,6138,6138,6159,6159,6159,6159,6159,6138,6159,6159,6202,6224,6267
353,12/19/23,6310,6353,6396,6440,6483,6547,6655,6784,7039,7369,7698,7775,7659,7717,8044,8484,8850,9108,9410,9726,10086,10594,11206,11962
354,12/20/23,12748,13222,13403,13385,13330,13167,12967,12712,12420,12182,11980,11778,11631,11483,11354,11188,11095,11021,10947,10854,10724,10575,10408,10296
355,12/21/23,10251,10251,10251,10266,10355,10538,10706,10873,10947,10891,10817,10743,10687,10613,10594,10650,10668,10650,10575,10464,10326,10266,10176,10101
356,12/22/23,10011,9922,9816,9681,9576,9455,9365,9259,9153,9062,8971,8880,8804,8728,8637,8542,8484,8408,8370,8313,8236,8159,8102,8025
357,12/23/23,7987,7929,7910,7871,7814,7794,7756,7717,7679,7679,7640,7621,7602,7544,7524,7505,7486,7447,7408,7389,7369,7350,7350,7331
358,12/24/23,7311,7272,7234,7214,7195,7175,7156,7136,7117,7097,7078,7058,7058,7039,7019,7019,7019,7019,7019,6978,6978,6978,6957,6935
359,12/25/23,6935,6914,6892,6892,6871,6871,6871,6871,6849,6828,6828,6828,6806,6806,6806,6828,6806,6806,6784,6784,6784,6784,6763,6763
360,12/26/23,6741,6741,6741,6720,6720,6698,6698,6698,6698,6677,6698,6698,6698,6677,6677,6677,6677,6677,6655,6655,6655,6655,6655,6655
361,12/27/23,6655,6655,6634,6634,6655,6634,6612,6612,6612,6612,6591,6591,6591,6591,6591,6591,6591,6591,6591,6591,6569,6569,6569,6591
362,12/28/23,6569,6569,6547,6569,6591,6612,6655,6698,6763,6828,6957,7019,7097,7156,7195,7253,7350,7447,7544,7717,7968,8236,8504,8759
363,12/29/23,8941,9093,9214,9365,9501,9636,9726,9771,9741,9696,9621,9546,9455,9380,9304,9229,9153,9093,9032,8956,8880,8820,8774,8744
364,12/30/23,8694,8675,8618,8580,8523,8504,8484,8542,8599,8656,8804,9093,9621,10464,11557,12420,13512,15274,18144,21463,23904,25152,25412,24739
365,12/31/23,22005,20409,19082,17947,17156,16520,15969,15506,15113,14701,14342,14000,13656,13330,13022,12767,12511,12292,12017,11760,11502,11299,11058,10891