MONTH,DAY,WL,WE,LFL,LFE,FL,FE,SL,SE,WL,WE,LFL,LFE,FL,FE,SL,SE
8,1,0,41,42,74,75,165,166,223,224,270,*,*,*,*,*,*
8,2,0,41,42,74,75,166,167,224,225,270,*,*,*,*,*,*
8,3,0,41,42,75,76,167,168,226,227,270,*,*,*,*,*,*
8,4,0,41,42,75,76,168,169,227,228,270,*,*,*,*,*,*
8,5,0,42,43,76,77,169,170,229,230,270,*,*,*,*,*,*
8,6,0,42,43,76,77,170,171,230,231,270,*,*,*,*,*,*
8,7,0,42,43,77,78,171,172,232,233,270,*,*,*,*,*,*
8,8,0,43,44,77,78,172,173,233,234,270,*,*,*,*,*,*
8,9,0,43,44,78,79,174,175,235,236,270,*,*,*,*,*,*
8,10,0,43,44,78,79,175,176,236,237,270,*,*,*,*,*,*
8,11,0,43,44,79,80,176,177,238,239,270,*,*,*,*,*,*
8,12,0,44,45,79,80,177,178,239,240,270,*,*,*,*,*,*
8,13,0,44,45,80,81,178,179,241,242,270,*,*,*,*,*,*
8,14,0,44,45,80,81,179,180,243,244,270,*,*,*,*,*,*
8,15,0,45,46,81,82,181,182,244,245,270,*,*,*,*,*,*
8,16,0,45,46,82,83,182,183,246,247,270,*,*,*,*,*,*
8,17,0,45,46,82,83,183,184,247,248,270,*,*,*,*,*,*
8,18,0,45,46,83,84,184,185,249,250,270,*,*,*,*,*,*
8,19,0,46,47,83,84,185,186,251,252,270,*,*,*,*,*,*
8,20,0,46,47,84,85,187,188,252,253,270,*,*,*,*,*,*
8,21,0,46,47,84,85,188,189,254,255,270,*,*,*,*,*,*
8,22,0,47,48,85,86,189,190,256,257,270,*,*,*,*,*,*
8,23,0,47,48,85,86,190,191,257,258,270,*,*,*,*,*,*
8,24,0,47,48,86,87,192,193,259,260,270,*,*,*,*,*,*
8,25,0,48,49,87,88,193,194,261,262,270,*,*,*,*,*,*
8,26,0,48,49,87,88,194,195,262,263,270,*,*,*,*,*,*
8,27,0,48,49,88,89,195,196,264,265,270,*,*,*,*,*,*
8,28,0,49,50,88,89,197,198,266,267,270,*,*,*,*,*,*
8,29,0,49,50,89,90,198,199,268,269,270,*,*,*,*,*,*
8,30,0,49,50,89,90,199,200,269,270,270,*,*,*,*,*,*
8,31,0,50,51,90,91,201,202,270,*,*,*,*,*,*,*,*
9,1,0,50,51,91,92,202,203,270,*,*,*,*,*,*,*,*
9,2,0,50,51,91,92,203,204,270,*,*,*,*,*,*,*,*
9,3,0,50,51,92,93,205,206,270,*,*,*,*,*,*,*,*
9,4,0,51,52,92,93,206,207,270,*,*,*,*,*,*,*,*
9,5,0,51,52,93,94,207,208,270,*,*,*,*,*,*,*,*
9,6,0,51,52,94,95,209,210,270,*,*,*,*,*,*,*,*
9,7,0,52,53,94,95,210,211,270,*,*,*,*,*,*,*,*
9,8,0,52,53,95,96,211,212,270,*,*,*,*,*,*,*,*
9,9,0,53,54,95,96,213,214,270,*,*,*,*,*,*,*,*
9,10,0,53,54,96,97,214,215,270,*,*,*,*,*,*,*,*
9,11,0,53,54,97,98,216,217,270,*,*,*,*,*,*,*,*
9,12,0,54,55,97,98,217,218,270,*,*,*,*,*,*,*,*
9,13,0,54,55,98,99,218,219,270,*,*,*,*,*,*,*,*
9,14,0,54,55,99,100,220,221,270,*,*,*,*,*,*,*,*
9,15,0,55,56,99,100,221,222,270,*,*,*,*,*,*,*,*
9,16,0,55,56,100,101,223,224,270,*,*,*,*,*,*,*,*
9,17,0,55,56,101,102,224,225,270,*,*,*,*,*,*,*,*
9,18,0,56,57,101,102,226,227,270,*,*,*,*,*,*,*,*
9,19,0,56,57,102,103,227,228,270,*,*,*,*,*,*,*,*
9,20,0,56,57,103,104,229,230,270,*,*,*,*,*,*,*,*
9,21,0,57,58,103,104,230,231,270,*,*,*,*,*,*,*,*
9,22,0,57,58,104,105,232,233,270,*,*,*,*,*,*,*,*
9,23,0,58,59,105,106,233,234,270,*,*,*,*,*,*,*,*
9,24,0,58,59,105,106,235,236,270,*,*,*,*,*,*,*,*
9,25,0,58,59,106,107,236,237,270,*,*,*,*,*,*,*,*
9,26,0,59,60,107,108,238,239,270,*,*,*,*,*,*,*,*
9,27,0,59,60,107,108,239,240,270,*,*,*,*,*,*,*,*
9,28,0,59,60,108,109,241,242,270,*,*,*,*,*,*,*,*
9,29,0,60,61,109,110,243,244,270,*,*,*,*,*,*,*,*
9,30,0,60,61,110,111,244,245,270,*,*,*,*,*,*,*,*
10,1,0,61,62,110,111,246,247,270,*,*,*,*,*,*,*,*
10,2,0,61,62,111,112,247,248,270,*,*,*,*,*,*,*,*
10,3,0,61,62,112,113,249,250,270,*,*,*,*,*,*,*,*
10,4,0,62,63,112,113,251,252,270,*,*,*,*,*,*,*,*
10,5,0,62,63,113,114,252,253,270,*,*,*,*,*,*,*,*
10,6,0,63,64,114,115,254,255,270,*,*,*,*,*,*,*,*
10,7,0,63,64,115,116,256,257,270,*,*,*,*,*,*,*,*
10,8,0,64,65,115,116,257,258,270,*,*,*,*,*,*,*,*
10,9,0,64,65,116,117,259,260,270,*,*,*,*,*,*,*,*
10,10,0,64,65,117,118,261,262,270,*,*,*,*,*,*,*,*
10,11,0,65,66,118,119,262,263,270,*,*,*,*,*,*,*,*
10,12,0,65,66,119,120,264,265,270,*,*,*,*,*,*,*,*
10,13,0,66,67,119,120,266,267,270,*,*,*,*,*,*,*,*
10,14,0,66,67,120,121,268,269,270,*,*,*,*,*,*,*,*
10,15,0,67,68,121,122,269,270,270,*,*,*,*,*,*,*,*
10,16,34,67,68,122,123,270,*,*,*,*,*,*,*,*,0,33
10,17,34,67,68,123,124,270,*,*,*,*,*,*,*,*,0,33
10,18,35,68,69,123,124,270,*,*,*,*,*,*,*,*,0,34
10,19,35,68,69,124,125,270,*,*,*,*,*,*,*,*,0,34
10,20,35,69,70,125,126,270,*,*,*,*,*,*,*,*,0,34
10,21,35,69,70,126,127,270,*,*,*,*,*,*,*,*,0,34
10,22,35,70,71,127,128,270,*,*,*,*,*,*,*,*,0,34
10,23,36,70,71,127,128,270,*,*,*,*,*,*,*,*,0,35
10,24,36,71,72,128,129,270,*,*,*,*,*,*,*,*,0,35
10,25,36,71,72,129,130,270,*,*,*,*,*,*,*,*,0,35
10,26,36,72,73,130,131,270,*,*,*,*,*,*,*,*,0,35
10,27,37,72,73,131,132,270,*,*,*,*,*,*,*,*,0,36
10,28,37,72,73,132,133,270,*,*,*,*,*,*,*,*,0,36
10,29,37,73,74,133,134,270,*,*,*,*,*,*,*,*,0,36
10,30,37,73,74,133,134,270,*,*,*,*,*,*,*,*,0,36
10,31,38,74,75,134,135,270,*,*,*,*,*,*,*,*,0,37
11,1,38,74,75,135,136,270,*,*,*,*,*,*,*,*,0,37
11,2,38,75,76,136,137,270,*,*,*,*,*,*,*,*,0,37
11,3,38,75,76,137,138,270,*,*,*,*,*,*,*,*,0,37
11,4,39,76,77,138,139,270,*,*,*,*,*,*,*,*,0,38
11,5,39,76,77,139,140,270,*,*,*,*,*,*,*,*,0,38
11,6,39,77,78,140,141,270,*,*,*,*,*,*,*,*,0,38
11,7,39,77,78,141,142,270,*,*,*,*,*,*,*,*,0,38
11,8,40,78,79,142,143,270,*,*,*,*,*,*,*,*,0,39
11,9,40,78,79,143,144,270,*,*,*,*,*,*,*,*,0,39
11,10,40,79,80,143,144,270,*,*,*,*,*,*,*,*,0,39
11,11,40,79,80,144,145,270,*,*,*,*,*,*,*,*,0,39
11,12,41,80,81,145,146,270,*,*,*,*,*,*,*,*,0,40
11,13,41,80,81,146,147,270,*,*,*,*,*,*,*,*,0,40
11,14,41,81,82,147,148,270,*,*,*,*,*,*,*,*,0,40
11,15,41,82,83,148,149,270,*,*,*,*,*,*,*,*,0,40
11,16,42,82,83,149,150,270,*,*,*,*,*,*,*,*,0,41
11,17,42,83,84,150,151,270,*,*,*,*,*,*,*,*,0,41
11,18,42,83,84,151,152,270,*,*,*,*,*,*,*,*,0,41
11,19,42,84,85,152,153,270,*,*,*,*,*,*,*,*,0,41
11,20,43,84,85,153,154,270,*,*,*,*,*,*,*,*,0,42
11,21,43,85,86,154,155,270,*,*,*,*,*,*,*,*,0,42
11,22,43,85,86,155,156,270,*,*,*,*,*,*,*,*,0,42
11,23,44,86,87,156,157,270,*,*,*,*,*,*,*,*,0,43
11,24,44,87,88,157,158,270,*,*,*,*,*,*,*,*,0,43
11,25,44,87,88,158,159,270,*,*,*,*,*,*,*,*,0,43
11,26,44,88,89,159,160,270,*,*,*,*,*,*,*,*,0,43
11,27,45,88,89,160,161,270,*,*,*,*,*,*,*,*,0,44
11,28,45,89,90,161,162,270,*,*,*,*,*,*,*,*,0,44
11,29,45,89,90,163,164,270,*,*,*,*,*,*,*,*,0,44
11,30,46,90,91,164,165,270,*,*,*,*,*,*,*,*,0,45
12,1,46,91,92,165,166,270,*,*,*,*,*,*,0,33,34,45
12,2,46,91,92,166,167,270,*,*,*,*,*,*,0,33,34,45
12,3,46,92,93,167,168,270,*,*,*,*,*,*,0,34,35,45
12,4,47,92,93,168,169,270,*,*,*,*,*,*,0,34,35,46
12,5,47,93,94,169,170,270,*,*,*,*,*,*,0,34,35,46
12,6,47,94,95,170,171,270,*,*,*,*,*,*,0,34,35,46
12,7,48,94,95,171,172,270,*,*,*,*,*,*,0,34,35,47
12,8,48,95,96,172,173,270,*,*,*,*,*,*,0,35,36,47
12,9,48,95,96,174,175,270,*,*,*,*,*,*,0,35,36,47
12,10,49,96,97,175,176,270,*,*,*,*,*,*,0,35,36,48
12,11,49,97,98,176,177,270,*,*,*,*,*,*,0,35,36,48
12,12,49,97,98,177,178,270,*,*,*,*,*,*,0,36,37,48
12,13,50,98,99,178,179,270,*,*,*,*,*,*,0,36,37,49
12,14,50,99,100,179,180,270,*,*,*,*,*,*,0,36,37,49
12,15,50,99,100,181,182,270,*,*,*,*,*,*,0,36,37,49
12,16,51,100,101,182,183,270,*,*,*,*,*,*,0,37,38,50
12,17,51,101,102,183,184,270,*,*,*,*,*,*,0,37,38,50
12,18,51,101,102,184,185,270,*,*,*,*,*,*,0,37,38,50
12,19,51,102,103,185,186,270,*,*,*,*,*,*,0,37,38,50
12,20,52,103,104,187,188,270,*,*,*,*,*,*,0,38,39,51
12,21,52,103,104,188,189,270,*,*,*,*,*,*,0,38,39,51
12,22,52,104,105,189,190,270,*,*,*,*,*,*,0,38,39,51
12,23,53,105,106,190,191,270,*,*,*,*,*,*,0,38,39,52
12,24,53,105,106,192,193,270,*,*,*,*,*,*,0,39,40,52
12,25,54,106,107,193,194,270,*,*,*,*,*,*,0,39,40,53
12,26,54,107,108,194,195,270,*,*,*,*,*,*,0,39,40,53
12,27,54,107,108,195,196,270,*,*,*,*,*,*,0,39,40,53
12,28,55,108,109,197,198,270,*,*,*,*,*,*,0,40,41,54
12,29,55,109,110,198,199,270,*,*,*,*,*,*,0,40,41,54
12,30,55,110,111,199,200,270,*,*,*,*,*,*,0,40,41,54
12,31,56,110,111,201,202,270,*,*,*,*,*,*,0,40,41,55
1,1,56,111,112,202,203,270,*,*,*,*,*,*,0,41,42,55
1,2,56,112,113,203,204,270,*,*,*,*,*,*,0,41,42,55
1,3,57,112,113,205,206,270,*,*,*,*,*,*,0,41,42,56
1,4,57,113,114,206,207,270,*,*,*,*,*,*,0,41,42,56
1,5,57,114,115,207,208,270,*,*,*,*,*,*,0,42,43,56
1,6,58,115,116,209,210,270,*,*,*,*,*,*,0,42,43,57
1,7,58,115,116,210,211,270,*,*,*,*,*,*,0,42,43,57
1,8,59,116,117,211,212,270,*,*,*,*,*,*,0,43,44,58
1,9,59,117,118,213,214,270,*,*,*,*,*,*,0,43,44,58
1,10,59,118,119,214,215,270,*,*,*,*,*,*,0,43,44,58
1,11,60,119,120,216,217,270,*,*,*,*,*,*,0,43,44,59
1,12,60,119,120,217,218,270,*,*,*,*,*,*,0,44,45,59
1,13,60,120,121,218,219,270,*,*,*,*,*,*,0,44,45,59
1,14,61,121,122,220,221,270,*,*,*,*,*,*,0,44,45,60
1,15,61,122,123,221,222,270,*,*,*,*,*,*,0,45,46,60
1,16,62,123,124,223,224,270,*,*,*,*,*,*,0,45,46,61
1,17,62,123,124,224,225,270,*,*,*,*,*,*,0,45,46,61
1,18,62,124,125,226,227,270,*,*,*,*,*,*,0,45,46,61
1,19,63,125,126,227,228,270,*,*,*,*,*,*,0,46,47,62
1,20,63,126,127,229,230,270,*,*,*,*,*,*,0,46,47,62
1,21,64,127,128,230,231,270,*,*,*,*,*,*,0,46,47,63
1,22,64,127,128,232,233,270,*,*,*,*,*,*,0,47,48,63
1,23,65,128,129,233,234,270,*,*,*,*,*,*,0,47,48,64
1,24,65,129,130,235,236,270,*,*,*,*,*,*,0,47,48,64
1,25,65,130,131,236,237,270,*,*,*,*,*,*,0,48,49,64
1,26,66,131,132,238,239,270,*,*,*,*,*,*,0,48,49,65
1,27,66,132,133,239,240,270,*,*,*,*,*,*,0,48,49,65
1,28,67,133,134,241,242,270,*,*,*,*,*,*,0,49,50,66
1,29,67,133,134,243,244,270,*,*,*,*,*,*,0,49,50,66
1,30,68,134,135,244,245,270,*,*,*,*,*,*,0,49,50,67
1,31,68,135,136,246,247,270,*,*,*,*,*,*,0,50,51,67
2,1,68,136,137,247,248,270,*,*,*,*,*,*,0,50,51,67
2,2,69,137,138,249,250,270,*,*,*,*,*,*,0,50,51,68
2,3,69,138,139,251,252,270,*,*,*,*,*,*,0,50,51,68
2,4,70,139,140,252,253,270,*,*,*,*,*,*,0,50,51,69
2,5,70,140,141,254,255,270,*,*,*,*,*,*,0,51,52,69
2,6,71,141,142,256,257,270,*,*,*,*,*,*,0,51,52,70
2,7,71,142,143,257,258,270,*,*,*,*,*,*,0,52,53,70
2,8,72,143,144,259,260,270,*,*,*,*,*,*,0,52,53,71
2,9,72,143,144,261,262,270,*,*,*,*,*,*,0,53,54,71
2,10,73,144,145,262,263,270,*,*,*,*,*,*,0,53,54,72
2,11,72,145,146,264,265,270,*,*,*,*,*,*,0,53,54,72
2,12,73,146,147,266,267,270,*,*,*,*,*,*,0,54,55,72
2,13,74,147,148,268,269,270,*,*,*,*,*,*,0,54,55,73
2,14,74,148,149,269,270,270,*,*,*,*,*,*,0,54,55,73
2,15,75,149,150,270,*,*,*,*,*,*,*,*,0,55,56,74
2,16,76,150,151,270,*,*,*,*,*,*,*,*,0,55,56,75
2,17,76,151,152,270,*,*,*,*,*,*,*,*,0,55,56,75
2,18,76,152,153,270,*,*,*,*,*,*,*,*,0,56,57,75
2,19,77,153,154,270,*,*,*,*,*,*,*,*,0,56,57,76
2,20,77,154,155,270,*,*,*,*,*,*,*,*,0,56,57,76
2,21,78,155,156,270,*,*,*,*,*,*,*,*,0,57,58,77
2,22,78,156,157,270,*,*,*,*,*,*,*,*,0,57,58,77
2,23,79,157,158,270,*,*,*,*,*,*,*,*,0,58,59,78
2,24,79,158,159,270,*,*,*,*,*,*,*,*,0,58,59,78
2,25,80,159,160,270,*,*,*,*,*,*,*,*,0,58,59,79
2,26,80,160,161,270,*,*,*,*,*,*,*,*,0,59,60,79
2,27,81,161,162,270,*,*,*,*,*,*,*,*,0,59,60,80
2,28,81,163,164,270,*,*,*,*,*,*,*,*,0,59,60,80
2,29,82,164,165,270,*,*,*,*,*,*,*,*,0,60,61,81
3,1,83,165,166,270,*,*,*,*,*,*,*,*,0,60,61,82
3,2,83,166,167,270,*,*,*,*,*,*,*,*,0,61,62,82
3,3,84,167,168,270,*,*,*,*,*,*,*,*,0,61,62,83
3,4,84,168,169,270,*,*,*,*,*,*,*,*,0,61,62,83
3,5,85,169,170,270,*,*,*,*,*,*,*,*,0,62,63,84
3,6,85,170,171,270,*,*,*,*,*,*,*,*,0,62,63,84
3,7,86,171,172,270,*,*,*,*,*,*,*,*,0,63,64,85
3,8,86,172,173,270,*,*,*,*,*,*,*,*,0,63,64,85
3,9,87,174,175,270,*,*,*,*,*,*,*,*,0,64,65,86
3,10,88,175,176,270,*,*,*,*,*,*,*,*,0,64,65,87
3,11,88,176,177,270,*,*,*,*,*,*,*,*,0,64,65,87
3,12,89,177,178,270,*,*,*,*,*,*,*,*,0,65,66,88
3,13,89,178,179,270,*,*,*,*,*,*,*,*,0,65,66,88
3,14,90,179,180,270,*,*,*,*,*,*,*,*,0,66,67,89
3,15,90,181,182,270,*,*,*,*,*,*,*,*,0,66,67,89
3,16,91,182,183,270,*,*,*,*,*,*,*,*,0,67,68,90
3,17,92,183,184,270,*,*,*,*,*,*,*,*,0,67,68,91
3,18,92,184,185,270,*,*,*,*,*,*,*,*,0,67,68,91
3,19,93,185,186,270,*,*,*,*,*,*,*,*,0,68,69,92
3,20,93,187,188,270,*,*,*,*,*,*,*,*,0,68,69,92
3,21,94,188,189,270,*,*,*,*,*,*,*,*,0,69,70,93
3,22,95,189,190,270,*,*,*,*,*,*,*,*,0,69,70,94
3,23,95,190,191,270,*,*,*,*,*,*,*,*,0,70,71,94
3,24,96,192,193,270,*,*,*,*,*,*,*,*,0,70,71,95
3,25,96,193,194,270,*,*,*,*,*,*,*,*,0,71,72,95
3,26,97,194,195,270,*,*,*,*,*,*,*,*,0,71,72,96
3,27,98,195,196,270,*,*,*,*,*,*,*,*,0,72,73,97
3,28,98,197,198,270,*,*,*,*,*,*,*,*,0,72,73,97
3,29,99,198,199,270,*,*,*,*,*,*,*,*,0,72,73,98
3,30,100,199,200,270,*,*,*,*,*,*,*,*,0,73,74,99
3,31,100,201,202,270,*,*,*,*,*,*,*,*,0,73,74,99
4,1,101,202,203,270,*,*,*,*,*,*,*,*,34,74,75,100
4,2,102,203,204,270,*,*,*,*,*,*,*,*,35,74,75,101
4,3,102,205,206,270,*,*,*,*,*,*,*,*,35,75,76,101
4,4,103,206,207,270,*,*,*,*,*,*,*,*,35,75,76,102
4,5,104,207,208,270,*,*,*,*,*,*,*,*,35,76,77,103
4,6,104,209,210,270,*,*,*,*,*,*,*,*,35,76,77,103
4,7,105,210,211,270,*,*,*,*,*,*,*,*,36,77,78,104
4,8,106,211,212,270,*,*,*,*,*,*,*,*,36,77,78,105
4,9,106,213,214,270,*,*,*,*,*,*,*,*,36,78,79,105
4,10,107,214,215,270,*,*,*,*,*,*,*,*,36,78,79,106
4,11,108,216,217,270,*,*,*,*,*,*,*,*,37,79,80,107
4,12,108,217,218,270,*,*,*,*,*,*,*,*,37,79,80,107
4,13,109,218,219,270,*,*,*,*,*,*,*,*,37,80,81,108
4,14,110,220,221,270,*,*,*,*,*,*,*,*,37,80,81,109
4,15,111,221,222,270,*,*,*,*,*,*,*,*,38,81,82,110
4,16,111,223,224,270,*,*,*,*,*,*,*,*,38,82,83,110
4,17,112,224,225,270,*,*,*,*,*,*,*,*,38,82,83,111
4,18,113,226,227,270,*,*,*,*,*,*,*,*,38,83,84,112
4,19,113,227,228,270,*,*,*,*,*,*,*,*,39,83,84,112
4,20,114,229,230,270,*,*,*,*,*,*,*,*,39,84,85,113
4,21,115,230,231,270,*,*,*,*,*,*,*,*,39,84,85,114
4,22,116,232,233,270,*,*,*,*,*,*,*,*,39,85,86,115
4,23,116,233,234,270,*,*,*,*,*,*,*,*,40,85,86,115
4,24,117,235,236,270,*,*,*,*,*,*,*,*,40,86,87,116
4,25,118,236,237,270,*,*,*,*,*,*,*,*,40,87,88,117
4,26,119,238,239,270,*,*,*,*,*,*,*,*,40,87,88,118
4,27,120,239,240,270,*,*,*,*,*,*,*,*,41,88,89,119
4,28,120,241,242,270,*,*,*,*,*,*,*,*,41,88,89,119
4,29,121,243,244,270,*,*,*,*,*,*,*,*,41,89,90,120
4,30,122,244,245,270,*,*,*,*,*,*,*,*,41,89,90,121
5,1,123,246,247,270,*,*,*,*,*,*,0,40,41,90,91,122
5,2,123,247,248,270,*,*,*,*,*,*,0,41,42,91,92,122
5,3,124,249,250,270,*,*,*,*,*,*,0,41,42,91,92,123
5,4,125,251,252,270,*,*,*,*,*,*,0,41,42,92,93,124
5,5,126,252,253,270,*,*,*,*,*,*,0,41,42,92,93,125
5,6,127,254,255,270,*,*,*,*,*,*,0,42,43,93,94,126
5,7,127,256,257,270,*,*,*,*,*,*,0,42,43,94,95,126
5,8,128,257,258,270,*,*,*,*,*,*,0,42,43,94,95,127
5,9,129,259,260,270,*,*,*,*,*,*,0,43,44,95,96,128
5,10,130,261,262,270,*,*,*,*,*,*,0,43,44,95,96,129
5,11,131,262,263,270,*,*,*,*,*,*,0,43,44,96,97,130
5,12,132,264,265,270,*,*,*,*,*,*,0,44,45,97,98,131
5,13,133,266,267,270,*,*,*,*,*,*,0,44,45,97,98,132
5,14,133,268,269,270,*,*,*,*,*,*,0,44,45,98,99,132
5,15,134,269,270,270,*,*,*,*,*,*,0,44,45,99,100,133
5,16,135,270,*,*,*,*,*,*,*,*,0,45,46,99,100,134
5,17,136,270,*,*,*,*,*,*,*,*,0,45,46,100,101,135
5,18,137,270,*,*,*,*,*,*,*,*,0,45,46,101,102,136
5,19,138,270,*,*,*,*,*,*,*,*,0,46,47,101,102,137
5,20,139,270,*,*,*,*,*,*,*,*,0,46,47,102,103,138
5,21,140,270,*,*,*,*,*,*,*,*,0,46,47,103,104,139
5,22,141,270,*,*,*,*,*,*,*,*,0,46,47,103,104,140
5,23,142,270,*,*,*,*,*,*,*,*,0,47,48,104,105,141
5,24,143,270,*,*,*,*,*,*,*,*,0,47,48,105,106,142
5,25,143,270,*,*,*,*,*,*,*,*,0,47,48,105,106,142
5,26,144,270,*,*,*,*,*,*,*,*,0,48,49,106,107,143
5,27,145,270,*,*,*,*,*,*,*,*,0,48,49,107,108,144
5,28,146,270,*,*,*,*,*,*,*,*,0,48,49,107,108,145
5,29,147,270,*,*,*,*,*,*,*,*,0,49,50,108,109,146
5,30,148,270,*,*,*,*,*,*,*,*,0,49,50,109,110,147
5,31,149,270,*,*,*,*,*,*,*,*,0,49,50,110,111,148
6,1,150,270,*,*,*,*,*,*,*,*,0,50,51,110,111,149
6,2,151,270,*,*,*,*,*,*,*,*,0,50,51,111,112,150
6,3,152,270,*,*,*,*,*,*,*,*,0,50,51,112,113,151
6,4,153,270,*,*,*,*,*,*,*,*,0,50,51,112,113,152
6,5,154,270,*,*,*,*,*,*,*,*,0,51,52,113,114,153
6,6,155,270,*,*,*,*,*,*,*,*,0,51,52,114,115,154
6,7,156,270,*,*,*,*,*,*,*,*,0,51,52,115,116,155
6,8,157,270,*,*,*,*,*,*,*,*,0,52,53,115,116,156
6,9,158,270,*,*,*,*,*,*,*,*,0,52,53,116,117,157
6,10,159,270,*,*,*,*,*,*,*,*,0,53,54,117,118,158
6,11,160,270,*,*,*,*,*,*,*,*,0,53,54,118,119,159
6,12,161,270,*,*,*,*,*,*,*,*,0,53,54,119,120,160
6,13,162,270,*,*,*,*,*,*,*,*,0,54,55,119,120,161
6,14,164,270,*,*,*,*,*,*,*,*,0,54,55,120,121,163
6,15,165,270,*,*,*,*,*,*,*,*,0,54,55,121,122,164
6,16,166,270,*,*,*,*,*,*,*,*,0,55,56,121,122,165
6,17,167,270,*,*,*,*,*,*,*,*,0,55,56,123,124,166
6,18,168,270,*,*,*,*,*,*,*,*,0,55,56,123,124,167
6,19,169,270,*,*,*,*,*,*,*,*,0,56,57,124,125,168
6,20,170,270,*,*,*,*,*,*,*,*,0,56,57,125,126,169
6,21,171,270,*,*,*,*,*,*,*,*,0,56,57,126,127,170
6,22,172,270,*,*,*,*,*,*,*,*,0,57,58,127,128,171
6,23,173,270,*,*,*,*,*,*,*,*,0,57,58,127,128,172
6,24,175,270,*,*,*,*,*,*,*,*,0,58,59,128,129,174
6,25,176,270,*,*,*,*,*,*,*,*,0,58,59,129,130,175
6,26,177,270,*,*,*,*,*,*,*,*,0,58,59,130,131,176
6,27,178,270,*,*,*,*,*,*,*,*,0,59,60,131,132,177
6,28,179,270,*,*,*,*,*,*,*,*,0,59,60,132,133,178
6,29,180,270,*,*,*,*,*,*,*,*,0,59,60,133,134,179
6,30,182,270,*,*,*,*,*,*,*,*,0,60,61,133,134,181
7,1,183,270,*,*,*,*,*,*,0,33,34,60,61,134,135,182
7,2,184,270,*,*,*,*,*,*,0,33,34,61,62,135,136,183
7,3,185,270,*,*,*,*,*,*,0,34,35,61,62,136,137,184
7,4,186,270,*,*,*,*,*,*,0,34,35,61,62,137,138,185
7,5,188,270,*,*,*,*,*,*,0,34,35,62,63,138,139,187
7,6,189,270,*,*,*,*,*,*,0,34,35,62,63,139,140,188
7,7,190,270,*,*,*,*,*,*,0,34,35,63,64,140,141,189
7,8,191,270,*,*,*,*,*,*,0,35,36,63,64,141,142,190
7,9,193,270,*,*,*,*,*,*,0,35,36,64,65,142,143,192
7,10,194,270,*,*,*,*,*,*,0,35,36,64,65,143,144,193
7,11,195,270,*,*,*,*,*,*,0,35,36,64,65,143,144,194
7,12,196,270,*,*,*,*,*,*,0,36,37,65,66,144,145,195
7,13,198,270,*,*,*,*,*,*,0,36,37,65,66,145,146,197
7,14,199,270,*,*,*,*,*,*,0,36,37,66,67,146,147,198
7,15,200,270,*,*,*,*,*,*,0,36,37,66,67,147,148,199
7,16,202,270,*,*,*,*,*,*,0,37,38,67,68,148,149,201
7,17,203,270,*,*,*,*,*,*,0,37,38,67,68,149,150,202
7,18,204,270,*,*,*,*,*,*,0,37,38,67,68,150,151,203
7,19,206,270,*,*,*,*,*,*,0,37,38,68,69,151,152,205
7,20,207,270,*,*,*,*,*,*,0,38,39,68,69,152,153,206
7,21,208,270,*,*,*,*,*,*,0,38,39,69,70,153,154,207
7,22,210,270,*,*,*,*,*,*,0,38,39,69,70,154,155,209
7,23,211,270,*,*,*,*,*,*,0,38,39,70,71,155,156,210
7,24,212,270,*,*,*,*,*,*,0,39,40,70,71,156,157,211
7,25,214,270,*,*,*,*,*,*,0,39,40,71,72,157,158,213
7,26,215,270,*,*,*,*,*,*,0,39,40,71,72,158,159,214
7,27,217,270,*,*,*,*,*,*,0,39,40,72,73,159,160,216
7,28,218,270,*,*,*,*,*,*,0,40,41,72,73,160,161,217
7,29,219,270,*,*,*,*,*,*,0,40,41,72,73,161,162,218
7,30,221,270,*,*,*,*,*,*,0,40,41,73,74,163,164,220
7,31,222,270,*,*,*,*,*,*,0,40,41,73,74,164,165,221
